ID,Player_Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots_On_Target,Conversion_percentage,Big_Chances_Missed,Hit_Woodwork,Offsides,Touches,Passes,Successful_Passes,Passes_Percentage,Crosses,Successful_Crosses,Crosses_Percentage,Final_Third_Passes,Successful_Final_Third_Passes,Final_Third_Passes_Percentage,Through_Balls,Carries,Progressive_Carries,Carries_Ended_with_Goal,Carries_Ended_with_Assist,Carries_Ended_with_Shot,Carries_Ended_with_Chance,Possession_Won,Dispossessed,Clean_Sheets,Clearances,Interceptions,Blocks,Tackles,Ground_Duels,Ground_Duels_Won,gDuels_Percentage,Aerial_Duels,Aerial_Duels_Won,Aerial_Duels_Percentage,Goals_Conceded,xG_Threat_Conceded,Own_Goals,Fouls,Yellow_Cards,Red_Cards,Saves,Saves_Percentage,Penalties_Saved,Clearances_Off_Line,Punches,High_Claims,Goals_Prevented,xG,npxG,xAG,Market_Value_In_Millions
150,Claudio Echeverri,Manchester City,Argentina,AM,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.5,18.000
327,Lisandro Martinez,Manchester United,Argentina,CB,20,1754,2,1,17,2,0,2,0,0,1555,688,610,89,11,3,27,186,152,82,0,224,104,0,1,4,3,73,3,5,54,24,8,40,150,77,51,17,9,53,0,0,0,22,7,0,0,0,0,0,0,0,0,2.2,2.2,0.2,40.000
188,Alejandro Garnacho,Manchester United,Argentina,LW,36,2195,6,2,84,30,7,14,3,10,1276,750,625,83,55,8,15,366,284,78,2,443,241,1,0,32,19,108,48,3,10,13,0,30,238,99,42,27,3,11,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,45.000
139,Nicolas Dominguez,Nottingham Forest,Argentina,CM,34,1970,0,1,21,8,17,3,0,1,1276,1026,850,83,0,0,0,150,79,53,0,159,71,0,1,0,1,85,12,3,52,27,22,86,84,57,68,141,101,72,0,0,0,33,9,0,0,0,0,0,0,0,0,0.3,0.3,0.1,18.000
434,Cristian Romero,Tottenham Hotspur,Argentina,CB,18,1420,1,0,16,13,9,3,1,2,1418,1059,992,94,8,1,13,344,310,90,2,281,124,1,2,10,6,97,5,2,52,7,9,35,146,76,52,28,14,50,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,50.000
431,Guido Rodriguez,West Ham United,Argentina,DM,23,1155,0,0,8,7,7,0,0,2,735,1118,963,86,3,0,0,130,73,56,0,345,132,0,0,0,3,68,7,1,0,40,12,36,70,43,61,90,64,71,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,10.000
73,Cameron Burgess,Ipswich Town,Australia,CB,18,1540,0,2,10,11,7,2,1,1,994,1300,1143,88,9,3,33,322,248,77,7,415,200,1,0,11,6,197,0,0,125,46,11,17,293,160,55,66,39,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7,0.7,0,2.000
309,Massimo Luongo,Ipswich Town,Australia,CM,11,197,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,2.5,0.3,0.400
118,Kevin Danso,Tottenham Hotspur,Austria,CB,10,843,0,0,7,0,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,70,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,2,2,2,25.000
95,Hamza Choudhury,Leicester City,Bangladesh,DM,4,130,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,4.500
512,Leandro Trossard,Arsenal,Belgium,LW,38,2550,8,7,72,2,6,9,1,6,1410,950,765,81,68,14,21,295,222,75,3,216,135,0,2,2,11,113,52,5,14,25,8,31,167,89,53,59,35,59,0,0,0,27,2,1,0,0,0,0,0,0,0,0.4,0.4,0,22.000
389,Amadou Onana,Aston Villa,Belgium,DM,26,1624,3,0,17,9,5,2,2,0,1057,786,611,78,48,5,10,344,241,70,5,173,82,0,0,7,4,100,9,2,40,8,2,55,151,61,40,37,14,38,0,0,0,32,4,0,0,0,0,0,0,0,0,4.3,4.3,1.3,50.000
498,Youri Tielemans,Aston Villa,Belgium,CM,36,3032,3,7,41,6,7,3,1,0,2517,722,611,85,55,9,16,219,175,80,1,154,98,0,1,2,5,44,29,4,46,11,9,84,89,50,56,14,5,36,0,0,0,41,4,0,0,0,0,0,0,0,0,3.4,3.4,0.2,38.000
294,Romeo Lavia,Chelsea,Belgium,DM,16,801,0,1,2,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,22,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,40.000
321,Orel Mangala,Everton,Belgium,DM,19,1255,1,0,16,13,9,0,1,2,663,999,875,88,14,2,14,283,238,84,1,333,134,2,0,6,3,115,12,3,21,30,10,16,179,95,53,79,34,43,0,0,0,24,2,0,0,0,0,1,0,0,0,9.6,9.6,4.2,18.000
88,Timothy Castagne,Fulham,Belgium,RB,24,1643,0,1,8,2,0,1,0,1,1194,1353,1182,87,52,11,21,410,338,82,1,384,225,0,1,1,7,189,5,3,75,23,11,46,209,114,55,62,27,44,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,13.000
169,Wout Faes,Leicester City,Belgium,CB,34,2812,1,0,12,16,18,1,0,1,1948,444,305,69,69,14,20,236,143,61,4,283,170,0,1,14,11,85,6,3,184,11,0,42,224,104,46,53,18,34,0,0,0,23,4,0,0,0,0,1,0,0,0,0.3,0.3,0.4,15.000
122,Kevin De Bruyne,Manchester City,Belgium,AM,28,1704,4,7,57,27,20,5,4,5,1425,448,288,64,38,5,13,261,163,63,1,207,121,3,1,14,7,83,28,4,8,5,4,17,226,107,47,170,90,53,0,0,0,17,2,0,0,0,0,0,0,0,0,0.4,0.4,0.1,20.000
138,Jeremy Doku,Manchester City,Belgium,LW,29,1513,3,6,29,6,0,0,0,5,1209,2054,1704,83,13,3,23,429,263,61,0,435,225,0,0,1,1,129,59,3,2,34,26,31,80,47,59,116,76,66,0,0,0,10,1,0,0,0,0,0,0,0,0,0.1,0.1,0.4,50.000
453,Matz Sels,Nottingham Forest,Belgium,GK,38,3420,0,0,0,0,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,54,0,0,1,0,0,0,0,0,0,46,50,0,1,4,0,120,72,0,0,28,19,4.3,0,0,0.4,7.000
372,Neto,Arsenal,Brazil,GK,2,180,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,2,0,0,0,0,1.500
314,Gabriel Magalhaes,Arsenal,Brazil,CB,28,2365,3,1,22,25,15,4,1,0,1911,590,466,79,89,21,24,339,254,75,5,337,216,0,3,18,22,78,2,10,89,5,0,25,206,77,37,56,17,30,0,0,0,19,4,0,0,0,0,0,0,0,0,0.6,0.6,0.2,80.000
325,Gabriel Martinelli,Arsenal,Brazil,LW,33,2300,8,4,55,12,10,8,0,8,1083,344,236,69,9,1,11,210,132,63,12,182,110,1,2,15,6,66,38,3,16,10,3,23,237,111,47,72,25,35,0,0,0,16,1,0,0,0,0,0,0,0,0,0.7,0.7,1.6,55.000
253,Gabriel Jesus,Arsenal,Brazil,ST,17,603,3,0,20,0,0,3,1,9,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,7,0,0,10,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,20.3,17.2,4.3,32.000
82,Diego Carlos,Aston Villa,Brazil,CB,10,828,0,0,4,0,0,2,0,1,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,8,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0.7,0.7,0.8,9.500
164,Evanilson,Bournemouth,Brazil,ST,31,2335,0,1,73,5,18,14,2,20,630,1633,1523,93,5,0,0,194,158,81,6,389,200,0,0,0,2,97,24,2,21,24,8,16,119,89,75,55,31,56,0,0,0,37,1,1,0,0,0,0,0,0,0,0.2,0.2,0,35.000
376,Gustavo Nunes,Brentford,Brazil,LW,3,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,4.7,1.9,10.000
496,Igor Thiago,Brentford,Brazil,ST,8,168,0,0,2,0,0,0,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1.5,1.5,1,18.000
241,Igor Julio,Brighton,Brazil,CB,13,960,0,0,1,18,24,0,0,0,831,691,587,85,31,9,29,277,219,79,2,363,212,2,0,14,6,172,0,1,38,20,2,5,328,171,52,27,8,30,0,0,0,9,4,0,0,0,0,0,0,0,0,2.1,2.1,0.3,20.000
256,Joao Pedro,Brighton,Brazil,ST,27,1953,10,0,47,5,3,7,1,2,1057,789,683,87,38,10,26,289,232,80,9,201,100,0,2,3,5,100,38,2,12,14,2,16,224,122,55,29,17,59,0,0,0,26,4,1,0,0,0,0,0,0,0,0.4,0.4,0.7,50.000
181,Matheus Franca,Crystal Palace,Brazil,AM,4,52,1,0,6,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,7.6,8.5,10.000
404,Andreas Pereira,Fulham,Brazil,AM,33,2022,2,4,39,3,0,4,0,0,1205,1541,1356,88,85,21,25,496,400,81,4,272,168,0,0,2,7,105,22,1,16,21,4,24,107,54,51,21,7,33,0,0,0,28,8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,18.000
545,Willian,Fulham,Brazil,LW,10,253,0,0,7,0,0,0,1,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.750
528,Carlos Vinicius,Fulham,Brazil,ST,3,13,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,1,3.500
362,Rodrigo Muniz,Fulham,Brazil,ST,31,951,8,1,39,12,6,5,0,3,371,999,820,82,23,6,26,363,272,75,8,260,126,0,1,8,13,182,24,0,14,30,11,10,231,106,46,51,22,43,0,0,0,11,1,0,0,0,0,0,0,0,0,0.2,0.2,0,20.000
15,Alisson Becker,Liverpool,Brazil,GK,28,2509,0,0,0,0,0,0,0,0,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,0,0,1,0,0,0,0,0,0,29,31,0,0,0,0,78,73,0,0,18,11,4,1.9,1.9,7.3,20.000
151,Ederson,Manchester City,Brazil,GK,26,2321,0,0,0,0,0,0,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,26,30,0,1,4,0,54,68,0,0,5,13,5.4,0.1,0.1,0.4,20.000
422,Vitor Reis,Manchester City,Brazil,CB,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.000
446,Savinho,Manchester City,Brazil,LW,29,1770,1,8,55,6,0,6,1,3,1208,1209,1036,86,7,3,43,191,118,62,0,237,127,0,0,1,1,97,38,3,9,21,37,23,90,48,53,172,94,55,0,0,0,17,3,0,0,0,0,0,0,0,0,4.6,4.6,2.5,50.000
84,Casemiro,Manchester United,Brazil,DM,24,1497,1,0,32,6,8,1,1,4,1298,833,677,81,5,1,20,93,43,46,2,159,64,0,0,0,0,51,10,3,48,19,13,83,90,52,58,90,49,54,0,0,0,20,5,0,0,0,0,0,0,0,0,6.7,6.7,0.6,10.000
27,Antony,Manchester United,Brazil,RW,8,135,0,0,6,0,0,1,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.4,0.4,0.8,35.000
212,Bruno Guimaraes,Newcastle United,Brazil,CM,38,3282,5,0,45,41,24,2,1,2,2433,1092,807,74,100,23,23,593,421,71,13,501,267,9,2,30,24,156,76,5,40,14,3,83,276,144,52,110,35,32,0,0,0,65,7,0,0,0,0,0,0,0,0,0,0,0.1,80.000
257,Joelinton,Newcastle United,Brazil,CM,29,2404,4,3,45,7,9,4,0,7,1478,1574,1357,86,28,6,21,449,342,76,5,444,203,0,0,5,6,200,53,7,46,25,4,57,402,193,48,38,11,29,0,0,0,58,10,0,0,0,0,0,0,0,0,0.8,0.8,2.2,35.000
354,Morato,Nottingham Forest,Brazil,CB,26,893,0,0,2,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,75,0,0,22,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,14.000
365,Murillo,Nottingham Forest,Brazil,CB,36,3191,2,0,25,1,33,2,2,0,1995,667,624,94,10,4,40,209,191,91,3,178,102,1,0,2,3,53,10,11,242,7,1,53,111,81,73,21,11,52,0,0,0,27,6,0,0,0,0,3,0,0,0,0.3,0.3,0.1,55.000
116,Danilo,Nottingham Forest,Brazil,DM,8,275,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8.6,8.6,7.7,28.000
539,Welington,Southampton,Brazil,LB,10,480,0,0,3,0,0,0,0,1,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,33,0,0,21,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3.000
426,Richarlison,Tottenham Hotspur,Brazil,ST,15,500,4,1,17,0,0,6,0,3,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,5,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,1.6,1.6,2.3,20.000
401,Lucas Paqueta,West Ham United,Brazil,AM,33,2384,4,0,41,30,18,1,0,6,1933,826,711,86,32,11,34,459,378,82,2,399,193,2,2,22,21,105,51,3,34,7,0,66,292,122,42,52,14,27,0,0,0,53,10,0,0,0,0,0,0,0,0,0,0,0,28.000
211,Luis Guilherme,West Ham United,Brazil,RW,12,139,0,0,4,0,0,0,1,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,3.1,15.000
302,Pedro Lima,Wolverhampton Wanderers,Brazil,RB,3,70,0,0,1,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3,0.3,0.7,5.000
25,Andre,Wolverhampton Wanderers,Brazil,DM,33,2484,0,0,10,1,0,0,0,0,1723,1338,1245,93,0,0,0,226,191,85,5,280,118,0,0,3,5,194,21,5,29,37,8,91,235,141,60,8,2,25,0,0,0,36,7,0,0,0,0,0,0,0,0,1,1,0.5,28.000
196,Joao Gomes,Wolverhampton Wanderers,Brazil,CM,36,2987,3,0,35,14,9,2,1,1,2154,1010,846,84,16,3,19,376,292,78,7,257,125,2,1,3,7,149,51,4,32,23,7,116,263,107,41,107,59,55,0,0,0,70,9,1,0,0,0,0,0,0,0,7.3,7.3,4.5,40.000
112,Matheus Cunha,Wolverhampton Wanderers,Brazil,ST,33,2600,15,6,110,4,11,2,2,8,1749,1079,958,89,40,9,23,441,372,84,3,290,157,0,3,1,4,70,55,3,19,15,4,38,150,73,49,35,15,43,0,0,0,42,4,0,0,0,0,0,0,0,0,0,0,0,60.000
396,Dango Ouattara,Bournemouth,Burkina Faso,RW,32,2006,7,0,62,18,11,12,3,14,1052,1137,854,75,74,19,26,381,250,66,2,256,130,1,2,6,12,171,32,2,48,44,6,35,310,163,53,137,58,42,0,0,0,16,3,0,0,0,0,0,0,0,0,0.6,0.6,0,28.000
136,Nasser Djiga,Wolverhampton Wanderers,Burkina Faso,CB,5,65,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,4.7,10.000
333,Bryan Mbeumo,Brentford,Cameroon,RW,38,3415,20,7,85,23,9,9,1,11,1915,598,504,84,56,13,23,391,325,83,4,320,192,2,4,25,12,70,47,8,51,3,0,49,212,109,51,30,10,33,0,0,0,25,3,0,0,0,0,0,0,0,0,7.4,7.4,5,55.000
42,Carlos Baleba,Brighton,Cameroon,DM,34,2670,3,1,44,9,4,3,1,0,1837,629,558,89,12,1,8,168,132,79,4,125,56,0,0,6,3,64,42,4,43,8,6,79,107,42,39,23,11,48,0,0,0,40,6,1,0,0,0,0,0,0,0,3.2,2.4,1.1,40.000
390,Andre Onana,Manchester United,Cameroon,GK,34,3060,0,0,0,0,0,0,0,0,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,0,0,2,0,0,0,0,0,0,44,45,0,0,0,0,90,67,1,0,0,22,1.5,0.8,0.8,0.6,25.000
251,Daniel Jebbison,Bournemouth,Canada,ST,16,105,1,0,5,0,0,2,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,4.000
66,Ben Brereton,Southampton,Chile,ST,10,448,0,0,11,0,0,2,0,1,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0.7,0.7,1.4,7.500
149,Jhon Duran,Aston Villa,Colombia,ST,20,626,7,0,31,0,0,7,0,5,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,0,8,0,0,0,0,0,0,0,0,0,14,3,1,0,0,0,0,0,0,0,0.6,0.6,1.1,35.000
464,Luis Sinisterra,Bournemouth,Colombia,LW,12,230,1,0,13,0,0,2,1,1,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.4,15.000
363,Daniel Munoz,Crystal Palace,Colombia,RB,37,3233,4,5,37,24,17,8,1,15,2107,485,415,86,3,0,0,198,162,82,0,151,61,3,0,9,4,46,20,11,94,5,4,123,132,62,47,49,17,35,0,0,0,56,10,0,0,0,0,0,0,0,0,0.2,0.2,1.3,25.000
297,Jefferson Lerma,Crystal Palace,Colombia,DM,33,2277,0,1,26,1,8,0,0,0,1475,732,629,86,10,2,20,163,123,76,1,188,96,0,1,4,8,107,18,3,78,28,10,35,181,94,52,35,13,37,0,0,0,35,9,0,0,0,0,0,0,0,0,4.2,4.2,6.2,10.000
130,Luis Diaz,Liverpool,Colombia,LW,36,2410,0,5,71,0,0,11,2,10,1315,517,435,84,15,3,20,102,67,66,0,90,43,0,0,1,1,42,49,4,7,21,6,39,87,44,51,24,13,54,0,0,0,48,2,0,0,0,0,0,0,0,0,0.8,0.8,0.6,70.000
357,Yerson Mosquera,Wolverhampton Wanderers,Colombia,CB,5,442,0,0,2,0,0,1,1,1,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,1.3,1.3,6.4,8.000
128,Amad Diallo,Manchester United,Cote DIvoire,RW,26,1901,8,6,47,6,18,1,0,9,1319,799,701,88,2,2,100,178,143,80,3,188,87,0,0,4,4,72,35,5,16,26,7,38,155,98,63,54,33,61,0,0,0,21,5,0,0,0,0,0,0,0,0,9.3,7.8,1.9,45.000
60,Willy Boly,Nottingham Forest,Cote DIvoire,CB,6,146,0,0,1,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.6,0.6,0.3,1.500
5,Simon Adingra,Brighton,Cote DIvoire,LW,29,1091,2,2,33,26,12,4,1,4,592,833,700,84,40,9,23,433,354,82,4,342,174,2,7,29,19,85,12,0,6,5,0,23,175,74,42,18,6,33,0,0,0,13,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,28.000
442,Ibrahim Sangare,Nottingham Forest,Cote DIvoire,DM,13,590,0,0,1,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,24.000
106,Maxwel Cornet,West Ham United,Cote DIvoire,LW,2,71,0,0,1,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,2.5,1.8,8.000
6,Emmanuel Agbadou,Wolverhampton Wanderers,Cote DIvoire,CB,16,1411,1,0,7,20,11,0,0,1,1201,1778,1489,84,45,9,20,670,499,75,14,415,181,0,1,8,16,156,4,4,89,13,7,30,293,144,49,48,15,31,0,0,0,7,3,0,0,0,0,0,0,0,0,0.8,0.8,0.2,20.000
216,Josko Gvardiol,Manchester City,Croatia,CB,37,3279,5,0,40,4,7,8,2,3,3194,1182,1039,88,28,4,14,421,350,83,2,275,164,0,1,2,4,94,16,11,111,22,4,58,198,111,56,42,22,52,0,0,0,16,2,0,0,0,0,1,0,0,0,0.1,0.1,0,75.000
285,Mateo Kovacic,Manchester City,Croatia,CM,31,2202,6,2,45,14,5,0,0,0,2206,1236,1045,85,40,7,18,404,322,80,9,399,219,0,1,8,10,179,29,4,21,28,8,69,362,193,53,24,15,63,0,0,0,24,5,1,0,0,0,0,0,0,0,1.6,1.6,1.2,20.000
250,Vitezslav Jaros,Liverpool,Czech Republic,GK,1,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.3,2.3,1.3,4.000
280,Antonin Kinsky,Tottenham Hotspur,Czech Republic,GK,6,540,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,6,10,0,0,0,0,15.000
